Year,Geography,Value
1910,england-trend,819.1
1911,england-trend,823
1912,england-trend,827.1
1913,england-trend,830.3
1914,england-trend,833.7
1915,england-trend,836.3
1916,england-trend,839
1917,england-trend,840.5
1918,england-trend,841.7
1919,england-trend,842.8
1920,england-trend,843
1921,england-trend,842.7
1922,england-trend,844.9
1923,england-trend,847.1
1924,england-trend,848.1
1925,england-trend,848.4
1926,england-trend,848.8
1927,england-trend,848.7
1928,england-trend,847.8
1929,england-trend,845.4
1930,england-trend,843.5
1931,england-trend,840.6
1932,england-trend,838.1
1933,england-trend,835.1
1934,england-trend,833.9
1935,england-trend,832.8
1936,england-trend,831.5
1937,england-trend,829.4
1938,england-trend,826.7
1939,england-trend,823.9
1940,england-trend,821.6
1941,england-trend,819
1942,england-trend,816.6
1943,england-trend,815.5
1944,england-trend,815.9
1945,england-trend,815.9
1946,england-trend,818.2
1947,england-trend,819.4
1948,england-trend,821.1
1949,england-trend,821.6
1950,england-trend,822.1
1951,england-trend,822.5
1952,england-trend,822.3
1953,england-trend,822.9
1954,england-trend,825.1
1955,england-trend,826.2
1956,england-trend,828.5
1957,england-trend,830.4
1958,england-trend,832
1959,england-trend,831.5
1960,england-trend,832.2
1961,england-trend,829.9
1962,england-trend,827.8
1963,england-trend,826.3
1964,england-trend,825.2
1965,england-trend,825.5
1966,england-trend,825.6
1967,england-trend,825.7
1968,england-trend,825.2
1969,england-trend,823.2
1970,england-trend,821.9
1971,england-trend,820
1972,england-trend,819.1
1973,england-trend,818.6
1974,england-trend,820.1
1975,england-trend,819.9
1976,england-trend,821.7
1977,england-trend,823.8
1978,england-trend,825.5
1979,england-trend,827.4
1980,england-trend,828.2
1981,england-trend,828.7
1982,england-trend,828.2
1983,england-trend,827.4
1984,england-trend,827.9
1985,england-trend,828.7
1986,england-trend,831
1987,england-trend,832.3
1988,england-trend,834
1989,england-trend,834.2
1990,england-trend,835.9
1991,england-trend,837.3
1992,england-trend,839.3
1993,england-trend,841.4
1994,england-trend,843.5
1995,england-trend,845.4
1996,england-trend,847.7
1997,england-trend,851.3
1998,england-trend,856.8
1999,england-trend,860.8
2000,england-trend,864.7
2001,england-trend,866.1
2002,england-trend,867.6
2003,england-trend,867.5
2004,england-trend,868.7
2005,england-trend,869.6
2006,england-trend,871.7
2007,england-trend,873.3
2008,england-trend,874.4
2009,england-trend,875.3
2010,england-trend,876.7
2011,england-trend,878.6
2012,england-trend,880.8
2013,england-trend,880.1
2014,england-trend,880.4
2015,england-trend,880.4
2016,england-trend,881.3
2017,england-trend,883.7
2018,england-trend,886.4
2019,england-trend,888.3
2020,england-trend,889.3
2021,england-trend,889.2
1836,wales-trend,1315.7
1837,wales-trend,1312.9
1838,wales-trend,1312.4
1839,wales-trend,1312.6
1840,wales-trend,1309.3
1841,wales-trend,1305.1
1842,wales-trend,1297.2
1843,wales-trend,1287.6
1844,wales-trend,1277.3
1845,wales-trend,1270.3
1846,wales-trend,1266.5
1847,wales-trend,1262.7
1848,wales-trend,1260.1
1849,wales-trend,1255.3
1850,wales-trend,1249.8
1851,wales-trend,1246.5
1852,wales-trend,1245.5
1853,wales-trend,1239.9
1854,wales-trend,1235.6
1855,wales-trend,1235.5
1856,wales-trend,1237.5
1857,wales-trend,1241.6
1858,wales-trend,1249.6
1859,wales-trend,1258.8
1860,wales-trend,1266
1861,wales-trend,1271.4
1862,wales-trend,1277.3
1863,wales-trend,1284.8
1864,wales-trend,1293.5
1865,wales-trend,1304.5
1866,wales-trend,1315.4
1867,wales-trend,1324.5
1868,wales-trend,1337.9
1869,wales-trend,1350.9
1870,wales-trend,1361.6
1871,wales-trend,1372.1
1872,wales-trend,1383.8
1873,wales-trend,1387.4
1874,wales-trend,1390.8
1875,wales-trend,1393.1
1876,wales-trend,1394.7
1877,wales-trend,1395.6
1878,wales-trend,1392.2
1879,wales-trend,1387.5
1880,wales-trend,1381.8
1881,wales-trend,1374.8
1882,wales-trend,1367.9
1883,wales-trend,1357.6
1884,wales-trend,1346.2
1885,wales-trend,1334.9
1886,wales-trend,1323.2
1887,wales-trend,1308.4
1888,wales-trend,1298.8
1889,wales-trend,1291.1
1890,wales-trend,1284.9
1891,wales-trend,1279.5
1892,wales-trend,1273.1
1893,wales-trend,1270.2
1894,wales-trend,1269.1
1895,wales-trend,1266.9
1896,wales-trend,1267.1
1897,wales-trend,1268.2
1898,wales-trend,1271.5
1899,wales-trend,1276.2
1900,wales-trend,1282.2
1901,wales-trend,1287.7
1902,wales-trend,1295.5
1903,wales-trend,1303.7
1904,wales-trend,1308.3
1905,wales-trend,1313.1
1906,wales-trend,1320.4
1907,wales-trend,1327.4
1908,wales-trend,1333.7
1909,wales-trend,1340.6
1910,wales-trend,1349.4
1911,wales-trend,1356.1
1912,wales-trend,1362.3
1913,wales-trend,1368
1914,wales-trend,1373.9
1915,wales-trend,1378.8
1916,wales-trend,1385.1
1917,wales-trend,1390.9
1918,wales-trend,1396.4
1919,wales-trend,1400.9
1920,wales-trend,1405.2
1921,wales-trend,1406.2
1922,wales-trend,1409.8
1923,wales-trend,1412.8
1924,wales-trend,1413.9
1925,wales-trend,1413.1
1926,wales-trend,1412.7
1927,wales-trend,1411.4
1928,wales-trend,1408.7
1929,wales-trend,1403.7
1930,wales-trend,1398.2
1931,wales-trend,1390.3
1932,wales-trend,1382.6
1933,wales-trend,1373.9
1934,wales-trend,1369.8
1935,wales-trend,1365.4
1936,wales-trend,1362.6
1937,wales-trend,1359
1938,wales-trend,1356.3
1939,wales-trend,1353.4
1940,wales-trend,1352.3
1941,wales-trend,1350.8
1942,wales-trend,1350.4
1943,wales-trend,1352.4
1944,wales-trend,1356.1
1945,wales-trend,1360.4
1946,wales-trend,1368.2
1947,wales-trend,1374.5
1948,wales-trend,1381.3
1949,wales-trend,1384.3
1950,wales-trend,1386.9
1951,wales-trend,1388.5
1952,wales-trend,1389.3
1953,wales-trend,1390.9
1954,wales-trend,1394.3
1955,wales-trend,1394.1
1956,wales-trend,1396
1957,wales-trend,1397.6
1958,wales-trend,1397.8
1959,wales-trend,1396
1960,wales-trend,1395.2
1961,wales-trend,1389.5
1962,wales-trend,1383.7
1963,wales-trend,1378.8
1964,wales-trend,1375.6
1965,wales-trend,1374.6
1966,wales-trend,1373.7
1967,wales-trend,1373.1
1968,wales-trend,1371
1969,wales-trend,1368.4
1970,wales-trend,1368.2
1971,wales-trend,1366.4
1972,wales-trend,1366.2
1973,wales-trend,1366.2
1974,wales-trend,1369.2
1975,wales-trend,1369.9
1976,wales-trend,1374.5
1977,wales-trend,1380.9
1978,wales-trend,1386.5
1979,wales-trend,1392.5
1980,wales-trend,1397.5
1981,wales-trend,1401.7
1982,wales-trend,1404.3
1983,wales-trend,1405.9
1984,wales-trend,1408.8
1985,wales-trend,1412.7
1986,wales-trend,1419.1
1987,wales-trend,1422.7
1988,wales-trend,1427.8
1989,wales-trend,1429.9
1990,wales-trend,1433.8
1991,wales-trend,1436.1
1992,wales-trend,1438.5
1993,wales-trend,1440.8
1994,wales-trend,1443.6
1995,wales-trend,1445.1
1996,wales-trend,1447.1
1997,wales-trend,1450.9
1998,wales-trend,1457.6
1999,wales-trend,1461.3
2000,wales-trend,1463.2
2001,wales-trend,1461.6
2002,wales-trend,1461
2003,wales-trend,1458.3
2004,wales-trend,1458.2
2005,wales-trend,1458
2006,wales-trend,1460.1
2007,wales-trend,1461.5
2008,wales-trend,1462.8
2009,wales-trend,1463.5
2010,wales-trend,1465.3
2011,wales-trend,1468.6
2012,wales-trend,1472.1
2013,wales-trend,1472.4
2014,wales-trend,1475.4
2015,wales-trend,1478.7
2016,wales-trend,1482.5
2017,wales-trend,1487.6
2018,wales-trend,1493.1
2019,wales-trend,1496.5
2020,wales-trend,1498.9
2021,wales-trend,1499
1836,scotland-trend,1238.7
1837,scotland-trend,1236.2
1838,scotland-trend,1235.6
1839,scotland-trend,1235.9
1840,scotland-trend,1237
1841,scotland-trend,1238.5
1842,scotland-trend,1239.7
1843,scotland-trend,1240.7
1844,scotland-trend,1241.7
1845,scotland-trend,1244.1
1846,scotland-trend,1245.8
1847,scotland-trend,1246.8
1848,scotland-trend,1248.5
1849,scotland-trend,1250
1850,scotland-trend,1251.6
1851,scotland-trend,1253.4
1852,scotland-trend,1258.4
1853,scotland-trend,1261.4
1854,scotland-trend,1266.6
1855,scotland-trend,1271.5
1856,scotland-trend,1277.7
1857,scotland-trend,1284.9
1858,scotland-trend,1294.8
1859,scotland-trend,1305.7
1860,scotland-trend,1315.9
1861,scotland-trend,1326.9
1862,scotland-trend,1337.1
1863,scotland-trend,1347.4
1864,scotland-trend,1355.6
1865,scotland-trend,1362.6
1866,scotland-trend,1370.3
1867,scotland-trend,1375.5
1868,scotland-trend,1382.2
1869,scotland-trend,1385.7
1870,scotland-trend,1389.6
1871,scotland-trend,1393.8
1872,scotland-trend,1397.7
1873,scotland-trend,1396
1874,scotland-trend,1392.6
1875,scotland-trend,1387.4
1876,scotland-trend,1382.5
1877,scotland-trend,1377.8
1878,scotland-trend,1369.9
1879,scotland-trend,1363.8
1880,scotland-trend,1359.5
1881,scotland-trend,1355.2
1882,scotland-trend,1352.1
1883,scotland-trend,1347.2
1884,scotland-trend,1343.3
1885,scotland-trend,1338.6
1886,scotland-trend,1334
1887,scotland-trend,1329.1
1888,scotland-trend,1327.2
1889,scotland-trend,1328
1890,scotland-trend,1330.9
1891,scotland-trend,1332.5
1892,scotland-trend,1334.7
1893,scotland-trend,1339
1894,scotland-trend,1342.8
1895,scotland-trend,1345.1
1896,scotland-trend,1348
1897,scotland-trend,1350.8
1898,scotland-trend,1355.5
1899,scotland-trend,1359
1900,scotland-trend,1363.1
1901,scotland-trend,1364.9
1902,scotland-trend,1368.3
1903,scotland-trend,1372.3
1904,scotland-trend,1372.8
1905,scotland-trend,1372.5
1906,scotland-trend,1373.4
1907,scotland-trend,1373.8
1908,scotland-trend,1373.6
1909,scotland-trend,1374.8
1910,scotland-trend,1377
1911,scotland-trend,1378.1
1912,scotland-trend,1379.4
1913,scotland-trend,1379.9
1914,scotland-trend,1382.9
1915,scotland-trend,1385.6
1916,scotland-trend,1390.3
1917,scotland-trend,1392.9
1918,scotland-trend,1395.2
1919,scotland-trend,1397.5
1920,scotland-trend,1401.2
1921,scotland-trend,1404.1
1922,scotland-trend,1406.7
1923,scotland-trend,1409.1
1924,scotland-trend,1410.7
1925,scotland-trend,1411.4
1926,scotland-trend,1412.3
1927,scotland-trend,1411.3
1928,scotland-trend,1409.9
1929,scotland-trend,1406.2
1930,scotland-trend,1403.1
1931,scotland-trend,1398.6
1932,scotland-trend,1394.8
1933,scotland-trend,1389.8
1934,scotland-trend,1388.7
1935,scotland-trend,1386.5
1936,scotland-trend,1384.7
1937,scotland-trend,1384.2
1938,scotland-trend,1384.9
1939,scotland-trend,1383.1
1940,scotland-trend,1383.7
1941,scotland-trend,1383.5
1942,scotland-trend,1385.7
1943,scotland-trend,1388.8
1944,scotland-trend,1391.7
1945,scotland-trend,1393.6
1946,scotland-trend,1395.8
1947,scotland-trend,1398.5
1948,scotland-trend,1402.8
1949,scotland-trend,1402.9
1950,scotland-trend,1402
1951,scotland-trend,1400.1
1952,scotland-trend,1397.6
1953,scotland-trend,1396
1954,scotland-trend,1396.1
1955,scotland-trend,1392.4
1956,scotland-trend,1391.3
1957,scotland-trend,1388.3
1958,scotland-trend,1384
1959,scotland-trend,1380.6
1960,scotland-trend,1378.5
1961,scotland-trend,1376.7
1962,scotland-trend,1373.7
1963,scotland-trend,1369.7
1964,scotland-trend,1368.1
1965,scotland-trend,1368.5
1966,scotland-trend,1370
1967,scotland-trend,1371.4
1968,scotland-trend,1371.7
1969,scotland-trend,1373.2
1970,scotland-trend,1377.6
1971,scotland-trend,1380.3
1972,scotland-trend,1385.7
1973,scotland-trend,1392.7
1974,scotland-trend,1401.1
1975,scotland-trend,1408.5
1976,scotland-trend,1418.7
1977,scotland-trend,1430.2
1978,scotland-trend,1443.1
1979,scotland-trend,1455.8
1980,scotland-trend,1467.9
1981,scotland-trend,1479.3
1982,scotland-trend,1489.4
1983,scotland-trend,1498.2
1984,scotland-trend,1507.2
1985,scotland-trend,1516.5
1986,scotland-trend,1526.6
1987,scotland-trend,1533.4
1988,scotland-trend,1540.7
1989,scotland-trend,1545.1
1990,scotland-trend,1550.4
1991,scotland-trend,1551.6
1992,scotland-trend,1552.9
1993,scotland-trend,1552.3
1994,scotland-trend,1552.4
1995,scotland-trend,1552.3
1996,scotland-trend,1551.2
1997,scotland-trend,1554
1998,scotland-trend,1558.4
1999,scotland-trend,1560.5
2000,scotland-trend,1561.3
2001,scotland-trend,1561.9
2002,scotland-trend,1564.7
2003,scotland-trend,1565.9
2004,scotland-trend,1569.6
2005,scotland-trend,1571.9
2006,scotland-trend,1576.5
2007,scotland-trend,1579.3
2008,scotland-trend,1581.8
2009,scotland-trend,1583.8
2010,scotland-trend,1584.9
2011,scotland-trend,1587.8
2012,scotland-trend,1586.5
2013,scotland-trend,1584.1
2014,scotland-trend,1584.6
2015,scotland-trend,1585.1
2016,scotland-trend,1583.2
2017,scotland-trend,1581.1
2018,scotland-trend,1580.9
2019,scotland-trend,1579.2
2020,scotland-trend,1578.6
2021,scotland-trend,1576.6
1836,northern-ireland-trend,926.7
1837,northern-ireland-trend,929.1
1838,northern-ireland-trend,936.1
1839,northern-ireland-trend,944.9
1840,northern-ireland-trend,953.4
1841,northern-ireland-trend,961.6
1842,northern-ireland-trend,969.6
1843,northern-ireland-trend,975.8
1844,northern-ireland-trend,980.9
1845,northern-ireland-trend,986.7
1846,northern-ireland-trend,991.5
1847,northern-ireland-trend,996
1848,northern-ireland-trend,1001.4
1849,northern-ireland-trend,1005
1850,northern-ireland-trend,1005.4
1851,northern-ireland-trend,1003.9
1852,northern-ireland-trend,1002.1
1853,northern-ireland-trend,997
1854,northern-ireland-trend,991.9
1855,northern-ireland-trend,987.5
1856,northern-ireland-trend,984.5
1857,northern-ireland-trend,983.1
1858,northern-ireland-trend,985.3
1859,northern-ireland-trend,989
1860,northern-ireland-trend,993.2
1861,northern-ireland-trend,997.7
1862,northern-ireland-trend,1002.6
1863,northern-ireland-trend,1007.5
1864,northern-ireland-trend,1012.8
1865,northern-ireland-trend,1020
1866,northern-ireland-trend,1027.2
1867,northern-ireland-trend,1033.5
1868,northern-ireland-trend,1041.1
1869,northern-ireland-trend,1048.9
1870,northern-ireland-trend,1056.5
1871,northern-ireland-trend,1063.2
1872,northern-ireland-trend,1069.7
1873,northern-ireland-trend,1070.8
1874,northern-ireland-trend,1071.9
1875,northern-ireland-trend,1072.7
1876,northern-ireland-trend,1073.6
1877,northern-ireland-trend,1073.2
1878,northern-ireland-trend,1070.7
1879,northern-ireland-trend,1067.9
1880,northern-ireland-trend,1064.6
1881,northern-ireland-trend,1061.8
1882,northern-ireland-trend,1059.3
1883,northern-ireland-trend,1056
1884,northern-ireland-trend,1051.6
1885,northern-ireland-trend,1046.9
1886,northern-ireland-trend,1043.9
1887,northern-ireland-trend,1039.9
1888,northern-ireland-trend,1039.7
1889,northern-ireland-trend,1040.3
1890,northern-ireland-trend,1040.7
1891,northern-ireland-trend,1040.9
1892,northern-ireland-trend,1041.9
1893,northern-ireland-trend,1044.5
1894,northern-ireland-trend,1048.2
1895,northern-ireland-trend,1051.4
1896,northern-ireland-trend,1055.1
1897,northern-ireland-trend,1058.3
1898,northern-ireland-trend,1061.9
1899,northern-ireland-trend,1066
1900,northern-ireland-trend,1069.8
1901,northern-ireland-trend,1071.2
1902,northern-ireland-trend,1073.3
1903,northern-ireland-trend,1075.1
1904,northern-ireland-trend,1075.1
1905,northern-ireland-trend,1074.8
1906,northern-ireland-trend,1075.7
1907,northern-ireland-trend,1076
1908,northern-ireland-trend,1075.5
1909,northern-ireland-trend,1075.2
1910,northern-ireland-trend,1076
1911,northern-ireland-trend,1075.9
1912,northern-ireland-trend,1077
1913,northern-ireland-trend,1077.2
1914,northern-ireland-trend,1078.8
1915,northern-ireland-trend,1080.9
1916,northern-ireland-trend,1084.8
1917,northern-ireland-trend,1088.3
1918,northern-ireland-trend,1090.6
1919,northern-ireland-trend,1092.1
1920,northern-ireland-trend,1094.3
1921,northern-ireland-trend,1095
1922,northern-ireland-trend,1097.1
1923,northern-ireland-trend,1099.6
1924,northern-ireland-trend,1101.2
1925,northern-ireland-trend,1101
1926,northern-ireland-trend,1101.6
1927,northern-ireland-trend,1101
1928,northern-ireland-trend,1101.5
1929,northern-ireland-trend,1099.6
1930,northern-ireland-trend,1097.5
1931,northern-ireland-trend,1094.2
1932,northern-ireland-trend,1090.6
1933,northern-ireland-trend,1088
1934,northern-ireland-trend,1088.7
1935,northern-ireland-trend,1088.4
1936,northern-ireland-trend,1089.7
1937,northern-ireland-trend,1090
1938,northern-ireland-trend,1089.8
1939,northern-ireland-trend,1088.2
1940,northern-ireland-trend,1088.7
1941,northern-ireland-trend,1088
1942,northern-ireland-trend,1088.2
1943,northern-ireland-trend,1087.6
1944,northern-ireland-trend,1088.5
1945,northern-ireland-trend,1088.5
1946,northern-ireland-trend,1089.9
1947,northern-ireland-trend,1091.1
1948,northern-ireland-trend,1091.7
1949,northern-ireland-trend,1090.2
1950,northern-ireland-trend,1088.9
1951,northern-ireland-trend,1086.3
1952,northern-ireland-trend,1084.7
1953,northern-ireland-trend,1084.6
1954,northern-ireland-trend,1087.1
1955,northern-ireland-trend,1087
1956,northern-ireland-trend,1088.5
1957,northern-ireland-trend,1088.9
1958,northern-ireland-trend,1089.3
1959,northern-ireland-trend,1088.2
1960,northern-ireland-trend,1088.5
1961,northern-ireland-trend,1086.5
1962,northern-ireland-trend,1084.4
1963,northern-ireland-trend,1082.8
1964,northern-ireland-trend,1081.8
1965,northern-ireland-trend,1081.6
1966,northern-ireland-trend,1081.8
1967,northern-ireland-trend,1081
1968,northern-ireland-trend,1079
1969,northern-ireland-trend,1075.4
1970,northern-ireland-trend,1073.5
1971,northern-ireland-trend,1070.9
1972,northern-ireland-trend,1070.2
1973,northern-ireland-trend,1069.6
1974,northern-ireland-trend,1071.3
1975,northern-ireland-trend,1071.8
1976,northern-ireland-trend,1075.8
1977,northern-ireland-trend,1080
1978,northern-ireland-trend,1084.4
1979,northern-ireland-trend,1088.8
1980,northern-ireland-trend,1092.6
1981,northern-ireland-trend,1095.9
1982,northern-ireland-trend,1098.7
1983,northern-ireland-trend,1101.1
1984,northern-ireland-trend,1105.4
1985,northern-ireland-trend,1110.2
1986,northern-ireland-trend,1115.5
1987,northern-ireland-trend,1118.1
1988,northern-ireland-trend,1122.8
1989,northern-ireland-trend,1125
1990,northern-ireland-trend,1128.1
1991,northern-ireland-trend,1128.5
1992,northern-ireland-trend,1129.5
1993,northern-ireland-trend,1129.6
1994,northern-ireland-trend,1130.1
1995,northern-ireland-trend,1131.1
1996,northern-ireland-trend,1132.3
1997,northern-ireland-trend,1135
1998,northern-ireland-trend,1138.8
1999,northern-ireland-trend,1140.7
2000,northern-ireland-trend,1141.9
2001,northern-ireland-trend,1143
2002,northern-ireland-trend,1146.1
2003,northern-ireland-trend,1146.2
2004,northern-ireland-trend,1148.3
2005,northern-ireland-trend,1150.4
2006,northern-ireland-trend,1154.5
2007,northern-ireland-trend,1157.6
2008,northern-ireland-trend,1160.9
2009,northern-ireland-trend,1163.9
2010,northern-ireland-trend,1166.2
2011,northern-ireland-trend,1168.8
2012,northern-ireland-trend,1170.2
2013,northern-ireland-trend,1170.3
2014,northern-ireland-trend,1171.9
2015,northern-ireland-trend,1173.3
2016,northern-ireland-trend,1173.5
2017,northern-ireland-trend,1173.6
2018,northern-ireland-trend,1175.4
2019,northern-ireland-trend,1176.4
2020,northern-ireland-trend,1177.1
2021,northern-ireland-trend,1176.4
