Year,Geography,Value
1977,scotland-trend,7.01
1978,scotland-trend,7.02
1979,scotland-trend,7.02
1980,scotland-trend,7.03
1981,scotland-trend,7.04
1982,scotland-trend,7.05
1983,scotland-trend,7.07
1984,scotland-trend,7.08
1985,scotland-trend,7.09
1986,scotland-trend,7.11
1987,scotland-trend,7.14
1988,scotland-trend,7.18
1989,scotland-trend,7.22
1990,scotland-trend,7.26
1991,scotland-trend,7.29
1992,scotland-trend,7.34
1993,scotland-trend,7.38
1994,scotland-trend,7.43
1995,scotland-trend,7.47
1996,scotland-trend,7.51
1997,scotland-trend,7.56
1998,scotland-trend,7.59
1999,scotland-trend,7.62
2000,scotland-trend,7.66
2001,scotland-trend,7.69
2002,scotland-trend,7.71
2003,scotland-trend,7.73
2004,scotland-trend,7.75
2005,scotland-trend,7.76
2006,scotland-trend,7.77
2007,scotland-trend,7.78
2008,scotland-trend,7.78
2009,scotland-trend,7.78
2010,scotland-trend,7.77
2011,scotland-trend,7.78
2012,scotland-trend,7.78
2013,scotland-trend,7.79
2014,scotland-trend,7.8
2015,scotland-trend,7.81
2016,scotland-trend,7.81
2017,scotland-trend,7.82
2018,scotland-trend,7.82
2019,scotland-trend,7.82
2020,scotland-trend,7.81
2021,scotland-trend,7.81
1884,northern-ireland-trend,8.28
1885,northern-ireland-trend,8.28
1886,northern-ireland-trend,8.29
1887,northern-ireland-trend,8.31
1888,northern-ireland-trend,8.32
1889,northern-ireland-trend,8.33
1890,northern-ireland-trend,8.35
1891,northern-ireland-trend,8.36
1892,northern-ireland-trend,8.37
1893,northern-ireland-trend,8.38
1894,northern-ireland-trend,8.39
1895,northern-ireland-trend,8.4
1896,northern-ireland-trend,8.4
1897,northern-ireland-trend,8.4
1898,northern-ireland-trend,8.4
1899,northern-ireland-trend,8.39
1900,northern-ireland-trend,8.38
1901,northern-ireland-trend,8.36
1902,northern-ireland-trend,8.34
1903,northern-ireland-trend,8.32
1904,northern-ireland-trend,8.3
1905,northern-ireland-trend,8.28
1906,northern-ireland-trend,8.26
1907,northern-ireland-trend,8.25
1908,northern-ireland-trend,8.23
1909,northern-ireland-trend,8.22
1910,northern-ireland-trend,8.22
1911,northern-ireland-trend,8.21
1912,northern-ireland-trend,8.21
1913,northern-ireland-trend,8.21
1914,northern-ireland-trend,8.21
1915,northern-ireland-trend,8.21
1916,northern-ireland-trend,8.22
1917,northern-ireland-trend,8.23
1918,northern-ireland-trend,8.24
1919,northern-ireland-trend,8.25
1920,northern-ireland-trend,8.27
1921,northern-ireland-trend,8.3
1922,northern-ireland-trend,8.31
1923,northern-ireland-trend,8.32
1924,northern-ireland-trend,8.34
1925,northern-ireland-trend,8.35
1926,northern-ireland-trend,8.37
1927,northern-ireland-trend,8.38
1928,northern-ireland-trend,8.39
1929,northern-ireland-trend,8.41
1930,northern-ireland-trend,8.43
1931,northern-ireland-trend,8.45
1932,northern-ireland-trend,8.47
1933,northern-ireland-trend,8.49
1934,northern-ireland-trend,8.51
1935,northern-ireland-trend,8.53
1936,northern-ireland-trend,8.55
1937,northern-ireland-trend,8.57
1938,northern-ireland-trend,8.59
1939,northern-ireland-trend,8.61
1940,northern-ireland-trend,8.62
1941,northern-ireland-trend,8.64
1942,northern-ireland-trend,8.66
1943,northern-ireland-trend,8.68
1944,northern-ireland-trend,8.7
1945,northern-ireland-trend,8.71
1946,northern-ireland-trend,8.71
1947,northern-ireland-trend,8.72
1948,northern-ireland-trend,8.72
1949,northern-ireland-trend,8.72
1950,northern-ireland-trend,8.71
1951,northern-ireland-trend,8.69
1952,northern-ireland-trend,8.68
1953,northern-ireland-trend,8.67
1954,northern-ireland-trend,8.65
1955,northern-ireland-trend,8.64
1956,northern-ireland-trend,8.62
1957,northern-ireland-trend,8.6
1958,northern-ireland-trend,8.58
1959,northern-ireland-trend,8.56
1960,northern-ireland-trend,8.53
1961,northern-ireland-trend,8.51
1962,northern-ireland-trend,8.49
1963,northern-ireland-trend,8.47
1964,northern-ireland-trend,8.46
1965,northern-ireland-trend,8.45
1966,northern-ireland-trend,8.45
1967,northern-ireland-trend,8.44
1968,northern-ireland-trend,8.43
1969,northern-ireland-trend,8.44
1970,northern-ireland-trend,8.44
1971,northern-ireland-trend,8.44
1972,northern-ireland-trend,8.43
1973,northern-ireland-trend,8.43
1974,northern-ireland-trend,8.43
1975,northern-ireland-trend,8.44
1976,northern-ireland-trend,8.44
1977,northern-ireland-trend,8.45
1978,northern-ireland-trend,8.46
1979,northern-ireland-trend,8.46
1980,northern-ireland-trend,8.47
1981,northern-ireland-trend,8.48
1982,northern-ireland-trend,8.5
1983,northern-ireland-trend,8.51
1984,northern-ireland-trend,8.53
1985,northern-ireland-trend,8.55
1986,northern-ireland-trend,8.57
1987,northern-ireland-trend,8.6
1988,northern-ireland-trend,8.64
1989,northern-ireland-trend,8.69
1990,northern-ireland-trend,8.72
1991,northern-ireland-trend,8.76
1992,northern-ireland-trend,8.81
1993,northern-ireland-trend,8.86
1994,northern-ireland-trend,8.91
1995,northern-ireland-trend,8.95
1996,northern-ireland-trend,8.99
1997,northern-ireland-trend,9.03
1998,northern-ireland-trend,9.06
1999,northern-ireland-trend,9.1
2000,northern-ireland-trend,9.12
2001,northern-ireland-trend,9.15
2002,northern-ireland-trend,9.17
2003,northern-ireland-trend,9.18
2004,northern-ireland-trend,9.19
2005,northern-ireland-trend,9.2
2006,northern-ireland-trend,9.21
2007,northern-ireland-trend,9.21
2008,northern-ireland-trend,9.21
2009,northern-ireland-trend,9.2
2010,northern-ireland-trend,9.2
2011,northern-ireland-trend,9.2
2012,northern-ireland-trend,9.2
2013,northern-ireland-trend,9.21
2014,northern-ireland-trend,9.22
2015,northern-ireland-trend,9.23
2016,northern-ireland-trend,9.24
2017,northern-ireland-trend,9.24
2018,northern-ireland-trend,9.24
2019,northern-ireland-trend,9.24
2020,northern-ireland-trend,9.24
2021,northern-ireland-trend,9.24
